appname,appid,common,bpon_common
WangZheRongYao,2,Y,N
WOW,2,Y,N
LOL,2,Y,N
CrossFire,2,Y,N
Fortnite,2,Y,N
StarCraft,2,Y,N
PUBG,2,Y,N
OverWatch,2,Y,N
DiWuRenGe,2,Y,N
ClashRoyale,2,Y,N
QQCar,2,Y,N
FreeFire,2,Y,N
WorldOfTanks,2,Y,N
WorldOfWarships,2,Y,N
RainbowSix,2,Y,N
Minecraft,2,Y,N
HearthStone,2,Y,N
CSGO,2,Y,N
GTA5,2,Y,N
ApexLegends,2,Y,N
Dota2,2,Y,N
Warface,2,Y,N
Destiny2,2,Y,N
RocketLeague,2,Y,N
HePingJingYing,2,Y,N
FIFA20,2,Y,N
PlayStation,2,Y,N
Xbox,2,Y,N
WarThunder,2,Y,N
H1Z1,2,Y,N
HerosofStrom,2,Y,N
CallOfDuty,2,Y,N
Warframe,2,Y,N
TeamFortressClassic,2,Y,N
HuangYeXingDong,2,Y,N
WeFire,2,Y,N
LeiTingZhanJi,2,Y,N
QuanMinFeiJiDaZhan,2,Y,N
PaoPaoKart,2,Y,N
Asphalt9,2,Y,N
BengHuai3,2,Y,N
QQDancer,2,Y,N
ClashOfClans,2,Y,N
LuanShiWangZhe,2,Y,N
Smite,2,Y,N
FarCry,2,Y,N
HeroesGenerals,2,Y,N
Rust,2,Y,N
Unturned,2,Y,N
BattleField5,2,Y,N
DyingLight,2,Y,N
TotalWarWarhammer2,2,Y,N
DotaUnderlords,2,Y,N
CG_MiGuPlay,2,Y,N
CG_TianYiYunYouXi,2,Y,N
CG_WoChangYou,2,Y,N
CG_TencentStart,2,Y,N
CG_WangYiYunYouXi,2,Y,N
YuanShen,2,Y,N
QIYI,4,Y,Y
QQLive,4,Y,Y
YouKu,4,Y,Y
Bilibili,4,Y,N
DouYin,4,Y,N
NowZhiBo,4,Y,N
HuoShanXiaoShiPin,4,Y,N
KuaiShou,4,Y,N
MangGuoTV,4,Y,N
DouYuTV,4,Y,N
HuYa,4,Y,N
CNTV,4,Y,N
XiGuaShiPin,4,Y,N
XiaoHongShu,4,Y,N
TanTan,4,Y,N
JinRiTouTiao,4,Y,N
WeiXinLive,4,Y,N
ZhuBaoYi,4,Y,N
VIPKID,6,Y,N
YuanFuDao,6,Y,N
TencentClass,6,Y,N
51Talk,6,Y,N
VipJr,6,Y,N
XueErSiWangXiao,6,Y,N
PingAnHaoXueYingYu,6,Y,N
iTutorGroup,6,Y,N
ZuoYeBang,6,Y,N
GaoTuKeTang,6,Y,N
Koolearn,6,Y,N
YouDaoJingPinKe,6,Y,N
Llsapp,6,Y,N
QiYeWelink,8,Y,Y
Zoom,8,Y,Y
DingDing,8,Y,Y
QiYeWeiXin,8,Y,Y
TencentMeeting,8,Y,Y
WuYingCloudDesktop,8,Y,Y
TianYiYunHuiYi,8,Y,N
YiDongYunShiXun,8,Y,N
QIYI,12,Y,Y
QQLive,12,Y,Y
YouKu,12,Y,Y
Bilibili,12,Y,N
DouYin,12,Y,N
NowZhiBo,12,Y,N
KuaiShou,12,Y,N
DouYuTV,12,Y,N
HuYa,12,Y,N
XiGuaShiPin,12,Y,N
Weipaitang,12,Y,N
WeiXinLive,12,Y,N
PinDuoDuoLive,12,Y,N
TaoBaoLive,12,Y,N
BaiDuZhiBo,12,Y,N
JingDongShangChengLive,12,Y,N
YYLive,12,Y,N
DuiZhuang,12,Y,N
TianTianJianBao,12,Y,N
FeiCuiWangChao,12,Y,N
YiJianZhiBo,12,Y,N
WanWuDeZhi,12,Y,N
