appname,appid,common,ROSUNION:GAME,TURKCELL2
WangZheRongYao,2,Y,N,N
WOW,2,Y,Y,N
LOL,2,Y,Y,N
Fortnite,2,Y,Y,N
PUBG,2,Y,Y,N
OverWatch,2,Y,Y,N
DiWuRenGe,2,Y,N,N
ClashRoyale,2,Y,N,N
QQCar,2,Y,N,N
FreeFire,2,Y,N,N
WorldOfTanks,2,Y,Y,N
WorldOfWarships,2,Y,Y,N
RainbowSix,2,Y,Y,N
Minecraft,2,Y,Y,N
HearthStone,2,Y,Y,N
CSGO,2,Y,Y,N
GTA5,2,Y,Y,N
ApexLegends,2,Y,Y,N
Dota2,2,Y,Y,N
Warface,2,Y,Y,N
Destiny2,2,Y,Y,N
RocketLeague,2,Y,Y,N
HePingJingYing,2,Y,Y,N
FIFA20,2,Y,Y,N
PlayStation,2,Y,N,N
Xbox,2,Y,N,N
CallOfDuty,2,Y,N,N
CG_NvidiaGeforceNow,2,Y,N,N
MobileLegends,2,Y,N,Y
Netflix,4,Y,N,N
YouTube,4,Y,N,N
Facebook,4,Y,N,N
Zoom,8,Y,Y,N
Skype,8,Y,N,N
Hangouts,8,Y,N,N
MicrosoftTeams,8,Y,N,N
WebEx,8,Y,N,Y
GoogleClassroom,8,Y,N,Y
WhatsApp,8,Y,N,Y
